=== Etapa 1 ===
       0         1         2         3         4         5         6         7         8        9
4.000000 -1.000000  0.000000 -1.000000  0.000000  0.000000  0.000000  0.000000  0.000000 0.000000
0.000000  3.750000 -1.000000 -0.250000 -1.000000  0.000000  0.000000  0.000000  0.000000 0.000000
0.000000 -1.000000  4.000000  0.000000  0.000000 -1.000000  0.000000  0.000000  0.000000 0.000000
0.000000 -0.250000  0.000000  3.750000 -1.000000  0.000000 -1.000000  0.000000  0.000000 0.000000
0.000000 -1.000000  0.000000 -1.000000  4.000000 -1.000000  0.000000 -1.000000  0.000000 0.000000
0.000000  0.000000 -1.000000  0.000000 -1.000000  4.000000  0.000000  0.000000 -1.000000 0.000000
0.000000  0.000000  0.000000 -1.000000  0.000000  0.000000  4.000000 -1.000000  0.000000 1.000000
0.000000  0.000000  0.000000  0.000000 -1.000000  0.000000 -1.000000  4.000000 -1.000000 1.000000
0.000000  0.000000  0.000000  0.000000  0.000000 -1.000000  0.000000 -1.000000  4.000000 1.000000

=== Etapa 2 ===
       0         1         2         3         4         5         6         7         8        9
4.000000 -1.000000  0.000000 -1.000000  0.000000  0.000000  0.000000  0.000000  0.000000 0.000000
0.000000  3.750000 -1.000000 -0.250000 -1.000000  0.000000  0.000000  0.000000  0.000000 0.000000
0.000000  0.000000  3.733333 -0.066667 -0.266667 -1.000000  0.000000  0.000000  0.000000 0.000000
0.000000  0.000000 -0.066667  3.733333 -1.066667  0.000000 -1.000000  0.000000  0.000000 0.000000
0.000000  0.000000 -0.266667 -1.066667  3.733333 -1.000000  0.000000 -1.000000  0.000000 0.000000
0.000000  0.000000 -1.000000  0.000000 -1.000000  4.000000  0.000000  0.000000 -1.000000 0.000000
0.000000  0.000000  0.000000 -1.000000  0.000000  0.000000  4.000000 -1.000000  0.000000 1.000000
0.000000  0.000000  0.000000  0.000000 -1.000000  0.000000 -1.000000  4.000000 -1.000000 1.000000
0.000000  0.000000  0.000000  0.000000  0.000000 -1.000000  0.000000 -1.000000  4.000000 1.000000

=== Etapa 3 ===
       0         1         2         3         4         5         6         7         8        9
4.000000 -1.000000  0.000000 -1.000000  0.000000  0.000000  0.000000  0.000000  0.000000 0.000000
0.000000  3.750000 -1.000000 -0.250000 -1.000000  0.000000  0.000000  0.000000  0.000000 0.000000
0.000000  0.000000  3.733333 -0.066667 -0.266667 -1.000000  0.000000  0.000000  0.000000 0.000000
0.000000  0.000000  0.000000  3.732143 -1.071429 -0.017857 -1.000000  0.000000  0.000000 0.000000
0.000000  0.000000  0.000000 -1.071429  3.714286 -1.071429  0.000000 -1.000000  0.000000 0.000000
0.000000  0.000000  0.000000 -0.017857 -1.071429  3.732143  0.000000  0.000000 -1.000000 0.000000
0.000000  0.000000  0.000000 -1.000000  0.000000  0.000000  4.000000 -1.000000  0.000000 1.000000
0.000000  0.000000  0.000000  0.000000 -1.000000  0.000000 -1.000000  4.000000 -1.000000 1.000000
0.000000  0.000000  0.000000  0.000000  0.000000 -1.000000  0.000000 -1.000000  4.000000 1.000000

=== Etapa 4 ===
       0         1         2         3         4         5         6         7         8        9
4.000000 -1.000000  0.000000 -1.000000  0.000000  0.000000  0.000000  0.000000  0.000000 0.000000
0.000000  3.750000 -1.000000 -0.250000 -1.000000  0.000000  0.000000  0.000000  0.000000 0.000000
0.000000  0.000000  3.733333 -0.066667 -0.266667 -1.000000  0.000000  0.000000  0.000000 0.000000
0.000000  0.000000  0.000000  3.732143 -1.071429 -0.017857 -1.000000  0.000000  0.000000 0.000000
0.000000  0.000000  0.000000  0.000000  3.406699 -1.076555 -0.287081 -1.000000  0.000000 0.000000
0.000000  0.000000  0.000000  0.000000 -1.076555  3.732057 -0.004785  0.000000 -1.000000 0.000000
0.000000  0.000000  0.000000  0.000000 -0.287081 -0.004785  3.732057 -1.000000  0.000000 1.000000
0.000000  0.000000  0.000000  0.000000 -1.000000  0.000000 -1.000000  4.000000 -1.000000 1.000000
0.000000  0.000000  0.000000  0.000000  0.000000 -1.000000  0.000000 -1.000000  4.000000 1.000000

=== Etapa 5 ===
       0         1         2         3         4         5         6         7         8        9
4.000000 -1.000000  0.000000 -1.000000  0.000000  0.000000  0.000000  0.000000  0.000000 0.000000
0.000000  3.750000 -1.000000 -0.250000 -1.000000  0.000000  0.000000  0.000000  0.000000 0.000000
0.000000  0.000000  3.733333 -0.066667 -0.266667 -1.000000  0.000000  0.000000  0.000000 0.000000
0.000000  0.000000  0.000000  3.732143 -1.071429 -0.017857 -1.000000  0.000000  0.000000 0.000000
0.000000  0.000000  0.000000  0.000000  3.406699 -1.076555 -0.287081 -1.000000  0.000000 0.000000
0.000000  0.000000  0.000000  0.000000  0.000000  3.391854 -0.095506 -0.316011 -1.000000 0.000000
0.000000  0.000000  0.000000  0.000000  0.000000 -0.095506  3.707865 -1.084270  0.000000 1.000000
0.000000  0.000000  0.000000  0.000000  0.000000 -0.316011 -1.084270  3.706461 -1.000000 1.000000
0.000000  0.000000  0.000000  0.000000  0.000000 -1.000000  0.000000 -1.000000  4.000000 1.000000

=== Etapa 6 ===
       0         1         2         3         4         5         6         7         8        9
4.000000 -1.000000  0.000000 -1.000000  0.000000  0.000000  0.000000  0.000000  0.000000 0.000000
0.000000  3.750000 -1.000000 -0.250000 -1.000000  0.000000  0.000000  0.000000  0.000000 0.000000
0.000000  0.000000  3.733333 -0.066667 -0.266667 -1.000000  0.000000  0.000000  0.000000 0.000000
0.000000  0.000000  0.000000  3.732143 -1.071429 -0.017857 -1.000000  0.000000  0.000000 0.000000
0.000000  0.000000  0.000000  0.000000  3.406699 -1.076555 -0.287081 -1.000000  0.000000 0.000000
0.000000  0.000000  0.000000  0.000000  0.000000  3.391854 -0.095506 -0.316011 -1.000000 0.000000
0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  3.705176 -1.093168 -0.028157 1.000000
0.000000  0.000000  0.000000  0.000000  0.000000  0.000000 -1.093168  3.677019 -1.093168 1.000000
0.000000  0.000000  0.000000  0.000000  0.000000  0.000000 -0.028157 -1.093168  3.705176 1.000000

=== Etapa 7 ===
       0         1         2         3         4         5         6         7         8        9
4.000000 -1.000000  0.000000 -1.000000  0.000000  0.000000  0.000000  0.000000  0.000000 0.000000
0.000000  3.750000 -1.000000 -0.250000 -1.000000  0.000000  0.000000  0.000000  0.000000 0.000000
0.000000  0.000000  3.733333 -0.066667 -0.266667 -1.000000  0.000000  0.000000  0.000000 0.000000
0.000000  0.000000  0.000000  3.732143 -1.071429 -0.017857 -1.000000  0.000000  0.000000 0.000000
0.000000  0.000000  0.000000  0.000000  3.406699 -1.076555 -0.287081 -1.000000  0.000000 0.000000
0.000000  0.000000  0.000000  0.000000  0.000000  3.391854 -0.095506 -0.316011 -1.000000 0.000000
0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  3.705176 -1.093168 -0.028157 1.000000
0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  3.354493 -1.101475 1.295038
0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000 -1.101475  3.704962 1.007599

=== Etapa 8 ===
       0         1         2         3         4         5         6         7         8        9
4.000000 -1.000000  0.000000 -1.000000  0.000000  0.000000  0.000000  0.000000  0.000000 0.000000
0.000000  3.750000 -1.000000 -0.250000 -1.000000  0.000000  0.000000  0.000000  0.000000 0.000000
0.000000  0.000000  3.733333 -0.066667 -0.266667 -1.000000  0.000000  0.000000  0.000000 0.000000
0.000000  0.000000  0.000000  3.732143 -1.071429 -0.017857 -1.000000  0.000000  0.000000 0.000000
0.000000  0.000000  0.000000  0.000000  3.406699 -1.076555 -0.287081 -1.000000  0.000000 0.000000
0.000000  0.000000  0.000000  0.000000  0.000000  3.391854 -0.095506 -0.316011 -1.000000 0.000000
0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  3.705176 -1.093168 -0.028157 1.000000
0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  3.354493 -1.101475 1.295038
0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  3.343284 1.432836

=== Etapa 9 ===
       0         1         2         3         4         5         6         7         8        9
4.000000 -1.000000  0.000000 -1.000000  0.000000  0.000000  0.000000  0.000000  0.000000 0.000000
0.000000  3.750000 -1.000000 -0.250000 -1.000000  0.000000  0.000000  0.000000  0.000000 0.000000
0.000000  0.000000  3.733333 -0.066667 -0.266667 -1.000000  0.000000  0.000000  0.000000 0.000000
0.000000  0.000000  0.000000  3.732143 -1.071429 -0.017857 -1.000000  0.000000  0.000000 0.000000
0.000000  0.000000  0.000000  0.000000  3.406699 -1.076555 -0.287081 -1.000000  0.000000 0.000000
0.000000  0.000000  0.000000  0.000000  0.000000  3.391854 -0.095506 -0.316011 -1.000000 0.000000
0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  3.705176 -1.093168 -0.028157 1.000000
0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  3.354493 -1.101475 1.295038
0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  3.343284 1.432836

